pos,param,trainMSE,valMSE
"(34.5, 79.5)","((2, 0, 1), (0, 0, 0, 12))",2.733,0.313
"(35.5, 73.5)","((1, 0, 1), (2, 0, 0, 12))",5.526,8.05
"(35.5, 74.5)","((1, 0, 1), (2, 0, 0, 12))",5.19,6.983
"(35.5, 75.5)","((5, 1, 0), (2, 0, 0, 12))",5.242,4.206
"(35.5, 76.5)","((1, 0, 0), (0, 0, 0, 12))",3.472,0.438
"(35.5, 77.5)","((1, 0, 1), (0, 0, 1, 12))",2.223,1.135
"(8.5, 77.5)","((1, 1, 1), (4, 0, 0, 12))",5.483,15.346
"(9.5, 76.5)","((1, 0, 0), (2, 0, 0, 12))",22.45,40.36
"(9.5, 77.5)","((1, 1, 2), (1, 0, 1, 12))",5.834,10.164
"(9.5, 78.5)","((1, 1, 1), (2, 0, 1, 12))",6.093,5.768
